本番（ビルド）環境用設定に切り替え中...
アプリケーションを bundle 中
   0. 0s  INFO Bundling project...
   0.132s  INFO Building app...
   0.685s  INFO Compiling [  1/290]: build-script-build
   0.685s  INFO Compiling [  3/290]: unicode_ident
   0.685s  INFO Compiling [  4/290]: autocfg
   0.685s  INFO Compiling [  5/290]: cfg_if
   0.685s  INFO Compiling [  6/290]: build-script-build
   0.686s  INFO Compiling [  7/290]: once_cell
   0.686s  INFO Compiling [  8/290]: version_check
   0.686s  INFO Compiling [  9/290]: pin_project_lite
   0.686s  INFO Compiling [ 10/290]: futures_core
   0.686s  INFO Compiling [ 11/290]: memchr
   0.686s  INFO Compiling [ 12/290]: futures_sink
   0.686s  INFO Compiling [ 13/290]: futures_task
   0.686s  INFO Compiling [ 14/290]: futures_io
   0.686s  INFO Compiling [ 15/290]: pin_utils
   0.686s  INFO Compiling [ 16/290]: build-script-build
   0.686s  INFO Compiling [ 17/290]: log
   0.686s  INFO Compiling [ 18/290]: smallvec
   0.686s  INFO Compiling [ 19/290]: itoa
   0.686s  INFO Compiling [ 20/290]: bytes
   0.686s  INFO Compiling [ 21/290]: unicode_xid
   0.686s  INFO Compiling [ 22/290]: build-script-build
   0.686s  INFO Compiling [ 23/290]: scopeguard
   0.686s  INFO Compiling [ 24/290]: fnv
   0.686s  INFO Compiling [ 25/290]: build-script-build
   0.686s  INFO Compiling [ 26/290]: proc_macro2
   0.686s  INFO Compiling [ 28/290]: build-script-build
   0.686s  INFO Compiling [ 29/290]: futures_channel
   0.686s  INFO Compiling [ 31/290]: tracing_core
   0.687s  INFO Compiling [ 32/290]: build-script-build
   0.687s  INFO Compiling [ 35/290]: http
   0.687s  INFO Compiling [ 36/290]: stable_deref_trait
   0.687s  INFO Compiling [ 37/290]: build-script-build
   0.687s  INFO Compiling [ 38/290]: dioxus_core_types
   0.687s  INFO Compiling [ 39/290]: build-script-main
   0.687s  INFO Compiling [ 40/290]: build-script-build
   0.687s  INFO Compiling [ 41/290]: build-script-build
   0.687s  INFO Compiling [ 42/290]: byteorder
   0.687s  INFO Compiling [ 43/290]: rustc_hash
   0.687s  INFO Compiling [ 44/290]: build-script-build
   0.687s  INFO Compiling [ 45/290]: unicode_segmentation
   0.687s  INFO Compiling [ 46/290]: bumpalo
   0.687s  INFO Compiling [ 47/290]: log
   0.687s  INFO Compiling [ 48/290]: build-script-build
   0.687s  INFO Compiling [ 49/290]: build-script-build
   0.687s  INFO Compiling [ 50/290]: quote
   0.687s  INFO Compiling [ 51/290]: libc
   0.687s  INFO Compiling [ 54/290]: rustversion
   0.687s  INFO Compiling [ 59/290]: longest_increasing_subsequence
   0.687s  INFO Compiling [ 61/290]: convert_case
   0.687s  INFO Compiling [ 63/290]: ryu
   0.687s  INFO Compiling [ 64/290]: build-script-build
   0.687s  INFO Compiling [ 65/290]: build-script-build
   0.688s  INFO Compiling [ 66/290]: litemap
   0.688s  INFO Compiling [ 67/290]: fnv
   0.688s  INFO Compiling [ 68/290]: writeable
   0.688s  INFO Compiling [ 69/290]: build-script-build
   0.688s  INFO Compiling [ 70/290]: ident_case
   0.688s  INFO Compiling [ 71/290]: build-script-build
   0.688s  INFO Compiling [ 72/290]: lazy_js_bundle
   0.688s  INFO Compiling [ 73/290]: percent_encoding
   0.688s  INFO Compiling [ 74/290]: syn
   0.688s  INFO Compiling [ 75/290]: slab
   0.688s  INFO Compiling [ 76/290]: const_format_proc_macros
   0.688s  INFO Compiling [ 77/290]: lock_api
   0.688s  INFO Compiling [ 78/290]: parking_lot_core
   0.688s  INFO Compiling [ 79/290]: wasm_bindgen_shared
   0.688s  INFO Compiling [ 80/290]: typenum
   0.688s  INFO Compiling [ 81/290]: mio
   0.688s  INFO Compiling [ 82/290]: socket2
   0.688s  INFO Compiling [ 83/290]: httparse
   0.688s  INFO Compiling [ 84/290]: getrandom
   0.688s  INFO Compiling [ 88/290]: build-script-build
   0.688s  INFO Compiling [ 91/290]: http_body
   0.688s  INFO Compiling [ 93/290]: cpufeatures
   0.688s  INFO Compiling [ 94/290]: unicode_ident
   0.689s  INFO Compiling [ 95/290]: tower_service
   0.689s  INFO Compiling [ 96/290]: mime
   0.689s  INFO Compiling [ 97/290]: data_encoding
   0.689s  INFO Compiling [ 98/290]: serde_derive
   0.689s  INFO Compiling [ 99/290]: futures_macro
   0.689s  INFO Compiling [100/290]: tracing_attributes
   0.689s  INFO Compiling [101/290]: synstructure
